CC
The product is beautiful but I bought the 11 11 discounts a day after a day fiasko entered the discount.,['Product'],['Product'],"['product', 'beautiful', 'bought', 'discount', 'day', 'day', 'fiasko', 'entered', 'discount']",product beautiful bought discount day day fiasko entered discount
"I have been using it for 10 days. Number 10 5 stars. Samsung iPhone for good days I can say I can say .... I make a comment update: 65 in the morning as of the moment I started to use my charging 65 ... more Nolsun Galaxy Note 4'üm I got it because I got it. More than my expectations, it does not escape at this price. I use the phone mainly for business purposes, I use intensive internet use and 1 day","['Product', 'Priceperformance']","['Product', 'Priceperformance']","['using', 'day', 'number', 'star', 'samsung', 'iphone', 'good', 'day', 'say', 'say', 'make', 'comment', 'update', 'morning', 'moment', 'started', 'use', 'charging', 'nolsun', 'galaxy', 'note', 'got', 'got', 'expectation', 'escape', 'price', 'use', 'phone', 'mainly', 'business', 'purpose', 'use', 'intensive', 'internet', 'use', 'day']",using day number star samsung iphone good day say say make comment update morning moment started use charging nolsun galaxy note got got expectation escape price use phone mainly business purpose use intensive internet use day
"It's a very nice phone. Especially the legend for those who pass through excessive models. It can take some time to get used to it so much, but I am very pleased.",['Product'],['Product'],"['nice', 'phone', 'especially', 'legend', 'pas', 'excessive', 'model', 'take', 'time', 'get', 'used', 'much', 'pleased']",nice phone especially legend pas excessive model take time get used much pleased
The product is nice but a week after a week began to stop the sound. We sent it to the guarantee.,['Product'],['Product'],"['product', 'nice', 'week', 'week', 'began', 'stop', 'sound', 'sent', 'guarantee']",product nice week week began stop sound sent guarantee
It is a very nice phone. I recommend. The blue color is great.,['Product'],['Product'],"['nice', 'phone', 'recommend', 'blue', 'color', 'great']",nice phone recommend blue color great
"The product gives a performance above the expected, I am satisfied",['Product'],['Product'],"['product', 'give', 'performance', 'expected', 'satisfied']",product give performance expected satisfied
We were very pleased. It arrived in 3 days. Such a phone at this price legend,['Product'],['Product'],"['pleased', 'arrived', 'day', 'phone', 'price', 'legend']",pleased arrived day phone price legend
"As it is explained, very good product fast delivery","['Product', 'Speedeslimat']","['Product', 'Speedeslimat']","['explained', 'good', 'product', 'fast', 'delivery']",explained good product fast delivery
very nice product charge goes for a very long time,['Product'],['Product'],"['nice', 'product', 'charge', 'go', 'long', 'time']",nice product charge go long time
"It has been for 2 years since I bought the product and I still use it, I have every feature.",['Product'],['Product'],"['year', 'since', 'bought', 'product', 'still', 'use', 'every', 'feature']",year since bought product still use every feature
"Product is nice fast gelfi for the second time my buying was mine was genpa, this kvk came beautiful fluent but I recommend white color",['Product'],['Product'],"['product', 'nice', 'fast', 'gelfi', 'second', 'time', 'buying', 'mine', 'genpa', 'kvk', 'came', 'beautiful', 'fluent', 'recommend', 'white', 'color']",product nice fast gelfi second time buying mine genpa kvk came beautiful fluent recommend white color
Do not give 2 times the money to waste 2 times. Isn't there that much difference in between.,"['Product', 'Priceperformance']","['Product', 'Priceperformance']","['give', 'time', 'money', 'waste', 'time', 'much', 'difference']",give time money waste time much difference
We got the product on the comments we got a really smooth shopping packaging cargo speed we were very satisfied with the product we just met I hope we will be satisfied with the use.,"['Product', 'Speedeslimat']","['Product', 'Speedeslimat']","['got', 'product', 'comment', 'got', 'really', 'smooth', 'shopping', 'packaging', 'cargo', 'speed', 'satisfied', 'product', 'met', 'hope', 'satisfied', 'use']",got product comment got really smooth shopping packaging cargo speed satisfied product met hope satisfied use
This phone is better in terms of both performance and price than to pay more for other brand phones.,['Product'],['Product'],"['phone', 'better', 'term', 'performance', 'price', 'pay', 'brand', 'phone']",phone better term performance price pay brand phone
The product is really beautiful. The price is also affordable. I would like to say that for friends who really want to buy: perfect with one word.,"['Product', 'convenience']","['Product', 'convenience']","['product', 'really', 'beautiful', 'price', 'also', 'affordable', 'would', 'like', 'say', 'friend', 'really', 'want', 'buy', 'perfect', 'one', 'word']",product really beautiful price also affordable would like say friend really want buy perfect one word
Fast Delivery Beautiful Product,"['Product', 'Speedeslimat']","['Product', 'Speedeslimat']","['fast', 'delivery', 'beautiful', 'product']",fast delivery beautiful product
"I liked it very much in appearance, but I wish I had a headset in the box. A nice phone other than that",['Product'],['Product'],"['liked', 'much', 'appearance', 'wish', 'headset', 'box', 'nice', 'phone']",liked much appearance wish headset box nice phone
"I bought it for my daughter, it says it is very fast, the screen is very good, especially the camera is perfect.","['Product', 'Speedeslimat']","['Product', 'Speedeslimat']","['bought', 'daughter', 'say', 'fast', 'screen', 'good', 'especially', 'camera', 'perfect']",bought daughter say fast screen good especially camera perfect
"I bought it for my wife, a very nice and beautiful product is one of the good phones that can be purchased at this price",['Product'],['Product'],"['bought', 'wife', 'nice', 'beautiful', 'product', 'one', 'good', 'phone', 'purchased', 'price']",bought wife nice beautiful product one good phone purchased price
"a nice phone screen image is beautiful and menus easy to pass from the iphondi I thought I was a little difficult, but it is nice",['Product'],['Product'],"['nice', 'phone', 'screen', 'image', 'beautiful', 'menu', 'easy', 'pas', 'iphondi', 'thought', 'little', 'difficult', 'nice']",nice phone screen image beautiful menu easy pas iphondi thought little difficult nice
"According to the price of the product, I bought a gift to my daughter, the exterior design and image quality is quite good, I ordered on Saturday came on Monday, even though I hesitated, we were satisfied with the only shorter headphones, but I have a door to the outside.","['Product', 'Priceperformance']","['Product', 'Priceperformance']","['according', 'price', 'product', 'bought', 'gift', 'daughter', 'exterior', 'design', 'image', 'quality', 'quite', 'good', 'ordered', 'saturday', 'came', 'monday', 'even', 'though', 'hesitated', 'satisfied', 'shorter', 'headphone', 'door', 'outside']",according price product bought gift daughter exterior design image quality quite good ordered saturday came monday even though hesitated satisfied shorter headphone door outside
"There is no need to think much, the good product, we interpreted it as your heart is spacious, but when talking on the phone, the sound is viscous or pushed during the conversation because of the sensor.",['Product'],['Product'],"['need', 'think', 'much', 'good', 'product', 'interpreted', 'heart', 'spacious', 'talking', 'phone', 'sound', 'viscous', 'pushed', 'conversation', 'sensor']",need think much good product interpreted heart spacious talking phone sound viscous pushed conversation sensor
I was satisfied as the first impression of the performance according to the price. The receivables will not be unhappy.,"['Product', 'Priceperformance']","['Product', 'Priceperformance']","['satisfied', 'first', 'impression', 'performance', 'according', 'price', 'receivables', 'unhappy']",satisfied first impression performance according price receivables unhappy
"Deserves the money you gave to the end, a very nice phone, face recognition feature I love the wonderful color",['Product'],['Product'],"['deserves', 'money', 'gave', 'end', 'nice', 'phone', 'face', 'recognition', 'feature', 'love', 'wonderful', 'color']",deserves money gave end nice phone face recognition feature love wonderful color
"I bought the phone today, but they do not damage the box a little more in the box to make a little more coating if you make a little more coating.",['Product'],['Product'],"['bought', 'phone', 'today', 'damage', 'box', 'little', 'box', 'make', 'little', 'coating', 'make', 'little', 'coating']",bought phone today damage box little box make little coating make little coating
"I am very pleased with everything, you can get it without thinking so cheaply such high quality",['Product'],['Product'],"['pleased', 'everything', 'get', 'without', 'thinking', 'cheaply', 'high', 'quality']",pleased everything get without thinking cheaply high quality
A very nice phone according to the price is both useful and those who want to buy frequently can get without thinking,"['Product', 'Priceperformance']","['Product', 'Priceperformance']","['nice', 'phone', 'according', 'price', 'useful', 'want', 'buy', 'frequently', 'get', 'without', 'thinking']",nice phone according price useful want buy frequently get without thinking
"The nice phone seems to pay for the price because the charge is very good, the camera is very good and there is no problem except that it is a little big and heavy.",['Product'],['Product'],"['nice', 'phone', 'seems', 'pay', 'price', 'charge', 'good', 'camera', 'good', 'problem', 'except', 'little', 'big', 'heavy']",nice phone seems pay price charge good camera good problem except little big heavy
